eps,min_sample,n_cluster,silhouette
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7000000000000001,5.0,1.0,0.11904943656970196
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.7100000000000001,3.0,1.0,0.1595981292182895
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.72,3.0,1.0,0.1650070314884064
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.74,3.0,1.0,0.17572584786868478
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.75,3.0,1.0,0.18326199372339794
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.76,3.0,1.0,0.2051212147916653
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.77,3.0,1.0,0.21241957875441753
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.79,3.0,1.0,0.21501483209194938
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.8,3.0,1.0,0.22544488484973585
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.81,4.0,1.0,0.23913228059813518
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8200000000000001,4.0,1.0,0.24762359789107552
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8300000000000001,4.0,1.0,0.25424878076538343
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.8400000000000001,4.0,1.0,0.2609268890675133
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.85,4.0,1.0,0.26269453846292906
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.86,4.0,1.0,0.26865114401888235
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.87,3.0,2.0,0.2778838132075624
0.88,3.0,2.0,0.28642735957575227
0.88,3.0,2.0,0.28642735957575227
0.88,3.0,2.0,0.28642735957575227
0.88,3.0,2.0,0.28642735957575227
