eps,min_sample,n_cluster,silhouette
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.53,4.0,1.0,0.08137757298882038
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.54,4.0,1.0,0.09336445667851541
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
0.55,4.0,1.0,0.09552338761531817
