t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10872369882,206.352112606,-148.293079407,10872373101,832.415715367,639.86730755,817.001564109,662.741642602,824.708639738,651.304475076,846.352112606,660.293079407,24.727218281833167,23.43576168182133,29.45250683379355,1.1238460074720562e-08,1.469406107391197e-08,2.414010366639352e-08,-1,-1,-1,-1,-1,1
10872390904,210.941327302,-149.660155226,10872393101,839.960159763,637.382970606,822.517626526,659.270912386,831.2388931445,648.326941496,850.941327302,661.660155226,26.645219713733937,23.78992433994867,28.523941648237823,1.985739334852062e-08,1.794260219650653e-08,1.629281145561107e-08,-1,-1,-1,-1,-1,-1
10872402931,216.467777934,-151.185704846,10872405101,841.224846828,636.615851036,827.147096441,663.677336167,834.1859716345,650.1465936015,856.467777934,663.185704846,30.631749544990676,25.816609266417718,29.324802890552178,1.0271924494699481e-08,2.4052657931147594e-08,4.438394440788731e-08,-1,-1,-1,-1,-1,1
10872420915,220.260596711,-152.156222794,10872421100,844.102157533,633.281361844,834.314252283,665.899883395,839.208204908,649.5906226195,860.2605967110001,664.156222794,34.84755651908698,25.599998224031573,26.004867649497676,1.7206392872778482e-08,1.974040926710527e-08,2.9315597716346e-08,-1,-1,-1,-1,-1,1
10872435926,224.997942634,-153.28079149,10872437101,851.658108843,633.905159614,839.618786164,662.817453216,845.6384475035,648.361306415,864.997942634,665.28079149,34.09371556738525,25.7110681791131,25.498423845031986,2.9612146277663446e-08,2.556983779971147e-08,2.3962240113416504e-08,-1,-1,-1,-1,-1,-1
10872453940,229.75256432,-154.311312211,10872457102,856.412271784,635.321002302,845.122253292,662.390444914,850.7672625380001,648.8557236080001,869.75256432,666.311312211,33.739631195404584,25.790293857007356,24.94043748005846,1.2400039079245098e-08,1.2880188965060903e-08,1.3798639693674476e-08,-1,-1,-1,-1,-1,-1
10872468949,234.56395741,-155.253680512,10872469101,862.062905314,631.646085433,848.747110453,665.376333285,855.4050078835,648.5112093590001,874.5639574100001,667.253680512,37.738271433876335,26.801969552255066,25.88501534501935,4.681700184143604e-08,3.2300687646469504e-08,3.261854569914048e-08,-1,-1,-1,-1,-1,-1
10872489961,239.410256117,-156.100288081,10872493095,867.092751167,642.109495978,859.087824493,672.538036211,863.09028783,657.3237660945,879.410256117,668.100288081,28.76181848101129,19.556962724671894,20.80131812115461,2.0165599513642726e-08,2.031038496914115e-08,2.1848713465813084e-08,-1,-1,-1,-1,-1,1
10872501976,244.967146987,-156.943625995,10872505091,868.636942023,642.123330949,861.400944705,669.941093476,865.018943364,656.0322122125,884.967146987,668.943625995,31.40069777123984,23.762058699691824,23.58730233349698,1.0731130888247723e-08,1.6129977809467786e-08,2.4167042136418234e-08,-1,-1,-1,-1,-1,1
10872519981,249.235806843,-157.498465633,10872521087,874.018316962,639.06466734,863.452070223,669.32758805,868.7351935925,654.1961276950001,889.235806843,669.498465633,34.026285086934585,25.58196024575382,25.7843028456831,2.4191314439087066e-08,1.6199833632329675e-08,8.367121090973193e-09,-1,-1,-1,-1,-1,-1
10872538013,254.197761214,-158.04116331,10872541082,884.3170702,647.603356764,868.538851958,669.619676,876.4279610789999,658.611516382,894.197761214,670.04116331,24.516998542029235,21.128242372156492,25.662370813316027,3.346197662893793e-08,2.2185729138281173e-08,1.2744273392240352e-08,-1,-1,-1,-1,-1,-1
10872553007,259.19392732,-158.475678456,10872553079,892.666457973,643.692584218,886.565999784,673.749438536,889.6162288785,658.721011377,899.1939273200001,670.475678456,27.567045417266137,15.162602203264413,13.045384582903985,6.40590569174666e-08,9.163416086914183e-08,1.284957268699549e-07,-1,-1,-1,-1,-1,1
10872571033,264.199065722,-158.797343223,10872573074,902.602564736,655.493380115,890.59336386,671.727885113,896.597964298,663.610632614,904.199065722,670.797343223,15.38701082762089,10.460666911600251,13.637486255416585,3.8586196951178734e-08,2.1319844594500736e-08,1.1271273963086185e-08,-1,-1,-1,-1,-1,1
10872586029,269.257073121,-159.005681329,10872589070,908.696574892,649.835907766,898.759219843,673.173892576,903.7278973675,661.5049001709999,909.2570731210001,671.005681329,21.17719223536037,10.99257145190803,10.719424586144273,3.2497826219107024e-08,2.9055085399310742e-08,3.2410332250579627e-08,-1,-1,-1,-1,-1,1
10872604046,274.348618535,-159.095527299,10872605066,911.630699497,655.09517771,908.42183994,670.711298367,910.0262697185001,662.9032380385,914.348618535,671.095527299,16.229549311898136,9.262629357758026,5.939220183351991,2.3536671446473166e-08,2.5214683062257745e-08,3.897061265834069e-08,-1,-1,-1,-1,-1,-1
10872619052,279.441362401,-159.063529061,10872621062,918.922008244,653.52026196,921.326522691,669.304822559,920.1242654675,661.4125422595,919.441362401,671.063529061,17.550952946134434,9.675117717163086,2.5781539673127574,2.9153090183613415e-08,3.989272971719637e-08,5.073279320941502e-08,-1,1,1,1,1,1
10872637082,284.589964704,-158.905503193,10872641058,920.122062153,650.511515605,929.671056616,678.076373168,924.8965593845,664.2939443865,924.5899647040001,670.905503193,20.87766469087789,6.618663773747525,8.788564798449661,8.101343391374711e-09,1.3942323536976195e-08,3.027877373682475e-08,-1,1,1,1,1,-1
10872652092,289.950788922,-158.604503745,10872653056,920.993047973,648.345713647,926.283350484,682.549412917,923.6381992285001,665.447563282,929.950788922,670.604503745,23.993642064851535,8.151246749878691,12.495237485692325,1.6216354072061478e-08,1.1859050609976692e-08,3.897908435509392e-08,-1,1,-1,1,-1,-1
10872670098,294.891952928,-158.201592092,10872673053,929.180333066,650.644529346,927.493209831,690.993717486,928.3367714485,670.819123416,934.891952928,670.201592092,20.374035061788224,6.584204520312295,22.069297175379763,2.1266111069395986e-08,1.784670991842469e-08,2.133273858639953e-08,-1,1,-1,-1,-1,-1
10872685128,300.061039929,-157.648768798,10872689050,934.230171399,657.095007738,931.4511205,691.799875218,932.8406459495,674.447441478,940.061039929,669.648768798,13.841818687069807,8.669564505151266,23.765568122896575,3.2012164290854843e-08,2.2600509430850797e-08,1.5783951801560713e-08,-1,1,-1,-1,-1,-1
10872703110,305.232666648,-156.958457491,10872705047,942.632693892,657.665283006,934.734063899,690.856482419,938.6833788955,674.2608827125,945.2326666480001,668.958457491,11.588599927540761,8.426676883246838,24.284648554768555,3.291020117070742e-08,2.284337250364578e-08,1.3347983892106235e-08,-1,1,-1,-1,-1,-1
10872721124,310.422601522,-156.124494549,10872725043,947.996773607,656.0760763,938.158680836,694.303493932,943.0777272215,675.1897851159999,950.4226015219999,668.124494549,12.29020029845041,10.191442944268582,28.90923311483048,1.3991957692538465e-08,1.1233127203568162e-08,1.215236265487737e-08,-1,1,-1,-1,-1,-1
10872736133,315.607058277,-155.146566328,10872737041,957.019445532,654.610180216,942.269265649,693.713728713,949.6443555905,674.1619544645,955.6070582770001,667.1465663280001,12.61569714709552,9.207035029440215,29.727274166638466,6.350017170721084e-08,4.617220456179913e-08,2.8847653360688086e-08,1,1,-1,-1,-1,-1
10872754139,320.763132568,-154.026409051,10872757037,965.13169353,654.728615832,948.832026584,690.657763016,956.981860057,672.6931894239999,960.763132568,666.026409051,12.112987100546004,7.664462299748196,27.36886713312338,2.0290896818436075e-08,1.871514459294818e-08,1.810571481070266e-08,1,1,-1,-1,-1,-1
