zeitstempel blick_l_x blick_l_y pupillengroesse_l pos_auge_l_x pos_auge_l_y entf_auge_l blick_r_x blick_r_y pupillengroesse_r pos_auge_r_x pos_auge_r_y entf_auge_r
1203809921 627.244703896 480.80314828 3.88137992744 -3.29290035091 -15.0620442384 602.487402294 0.0 0.0 3.72117233198 51.3871574382 -13.5981860054 577.902720672
1203813921 627.020435712 483.500190979 3.87814888384 -3.40850525067 -15.0811519683 602.211712859 0.0 0.0 3.7156458924 51.4257129075 -13.6759790819 579.137422499
1203817921 627.183974149 484.939158249 3.8747246882 -3.51490193412 -15.1193391893 601.802235499 0.0 0.0 3.70840364725 51.2380971456 -13.6808647341 578.43302404
1203821921 626.938376724 484.723592741 3.87153417877 -3.59711362383 -15.1615988621 601.471888882 0.0 0.0 3.70549683308 51.1937609919 -13.6923708244 578.634010874
1203825922 627.865032169 483.36048686 3.87049220561 -3.71023417459 -15.2162659552 601.559655982 0.0 0.0 3.70095512054 51.0621874879 -13.6918147532 578.336751394
1203829922 627.713018725 484.986187162 3.86365087823 -3.82053228205 -15.2113455937 601.471692709 0.0 0.0 3.69523215072 50.9536338201 -13.6903432342 578.177227689
1203833922 627.873702186 484.556482152 3.85685756812 -3.91227139071 -15.2414089535 601.224757495 0.0 0.0 3.69134293098 50.9409190022 -13.6965873594 578.626433955
1203837923 627.54450933 484.259055262 3.85619667088 -3.98935287948 -15.2619683194 601.243481817 0.0 0.0 3.6849479216 50.8328506762 -13.6962458192 578.584285186
1203841924 627.397423101 484.272054216 3.85120767179 -4.11405895676 -15.2643525566 601.941476729 0.0 0.0 3.67915616568 50.7254003823 -13.67971564 578.388725025
1203845924 626.652895402 485.47399151 3.84684567085 -4.1945950057 -15.2591965408 600.761144003 0.0 0.0 3.67560594073 50.7274896169 -13.6820346633 578.969062697
1203849925 626.229525539 485.341153657 3.84506861201 -4.26825306365 -15.2840830594 601.328735157 0.0 0.0 3.67432904733 50.7388403115 -13.6921383679 579.940056746
1203853926 627.046830435 485.586123902 3.83543428757 -4.39185147721 -15.2875673194 601.545097248 0.0 0.0 3.67588948317 50.5435353455 -13.660030992 578.929885438
1203857926 626.371146779 487.052584934 3.83567687318 -4.45628840384 -15.2642907243 600.489983553 0.0 0.0 3.67075641902 50.5192459297 -13.6346688586 579.199938813
1203861927 625.049669731 484.608053676 3.82768093029 -4.54703495154 -15.3078929268 601.051215679 0.0 0.0 3.66294091331 50.5376048969 -13.6796120491 580.312504897
1203865927 625.221796243 485.586846616 3.82886307986 -4.6535827214 -15.3174994286 601.037610403 0.0 0.0 3.65801596047 50.3320021181 -13.6719298289 579.219873968
